Fighter,Opponent,W/L,Method,Competition,Weight,Stage,Year
"Aaron ""Tex"" Johnson",Quentin Rosensweig,L,Inside heel hook,Kakuto 5,ABS,SPF,2015
"Aaron ""Tex"" Johnson",Neiman Gracie,L,RNC,NoGi Pan Ams,94KG,SF,2015
"Aaron ""Tex"" Johnson",Richie Martinez,L,Heel hook,Kakuto Challenge,ABS,SF,2015
"Aaron ""Tex"" Johnson",Leo Nogueira,L,Points,Atlanta W. Open,94KG,SF,2016
"Aaron ""Tex"" Johnson",Romulo Azevedo,L,N/A,UAEJJF NYC Pro,94KG,SF,2016
"Aaron ""Tex"" Johnson",Abraham Marte,L,Cross choke,UAEJJF NYC Pro,HWABS,4F,2016
"Aaron ""Tex"" Johnson",Andre Galvao,L,Choke,Pan American,ABS,R2,2016
"Aaron ""Tex"" Johnson",Joao Soares,L,Triangle,Boston Spring O.,100KG,F,2016
"Aaron ""Tex"" Johnson",Bernardo Faria,L,Triangle armbar,World Champ.,ABS,R2,2016
"Aaron ""Tex"" Johnson",Joao Rocha,L,Choke from back,BJJ Tour - CT,ABS,SF,2016
"Aaron ""Tex"" Johnson",Marcos Tinoco,L,Points,NY Summer Open,ABS,4F,2016
"Aaron ""Tex"" Johnson",Mike Hillebrand,L,Inside heel hook,EBI 8,84KG,R1,2016
"Aaron ""Tex"" Johnson",Dillon Danis,L,Arm in guillotine,NoGi Pan Ams,ABS,SF,2016
"Aaron ""Tex"" Johnson",Yuri Simoes,L,Pts: 19x0,NoGi Worlds,O97KG,SF,2016
"Aaron ""Tex"" Johnson",Leo Nogueira,L,Points,UAEJJF Orlando,110KG,F,2017
"Aaron ""Tex"" Johnson",Helton Jose,L,Pts: 10x0,Atlanta W. Open,ABS,SF,2017
"Aaron ""Tex"" Johnson",Jonathan Satava,L,Points,UAEJJF NY Pro,U110KG,4F,2017
"Aaron ""Tex"" Johnson",Keenan Cornelius,L,Points,LA National Pro,U110KG,F,2017
"Aaron ""Tex"" Johnson",Tanner Rice,L,Pts: 4x2,Pan American,94KG,8F,2017
"Aaron ""Tex"" Johnson",Gianni Grippo,L,Points,NY Spring No-Gi,ABS,F,2017
"Aaron ""Tex"" Johnson",Joao Rocha,L,Botinha,World Champ.,ABS,R1,2017
"Aaron ""Tex"" Johnson",Leandro Lo,L,Brabo choke,World Champ.,94KG,8F,2017
"Aaron ""Tex"" Johnson",Mahamed Aly,L,Calf slicer,NY S. No-Gi Open,O97KG,F,2017
"Aaron ""Tex"" Johnson",DJ Jackson,L,Points,NY S. No-Gi Open,ABS,SF,2017
"Aaron ""Tex"" Johnson",Gordon Ryan,L,Reverse triangle,Grappling Ind.,ABS,SF,2017
"Aaron ""Tex"" Johnson",Craig Jones,L,Inside heel hook,EBI 14,ABS,SF,2017
"Aaron ""Tex"" Johnson",Joao Assis,L,Pts: 2x0,NoGi Worlds,97KG,SF,2017
"Aaron ""Tex"" Johnson",Keenan Cornelius,L,RNC,NoGi Worlds,ABS,R1,2017
"Aaron ""Tex"" Johnson",Dany Gerard,L,Pts: 0x0,US National Pro,110KG,SF,2018
"Aaron ""Tex"" Johnson",Matt Leighton,L,Points,Continental Pro,110KG,RR,2018
"Aaron ""Tex"" Johnson",Tanner Rice,L,DQ,Marianas EP,O85KG,F,2018
"Aaron ""Tex"" Johnson",Tanner Rice,L,Pts: 7x2,Pan American,94KG,4F,2018
"Aaron ""Tex"" Johnson",Matt Leighton,L,Triangle armbar,F2W 73,93KG,SPF,2018
"Aaron ""Tex"" Johnson",Fellipe Trovo,L,Pts: 4x2,ACB North America,95KG,4F,2018
"Aaron ""Tex"" Johnson",Victor Silverio,L,Referee Decision,ACB North America,ABS,8F,2018
"Aaron ""Tex"" Johnson",Rafael Vasconcelos,L,DQ,Washington NGO,97KG,F,2018
"Aaron ""Tex"" Johnson",Diogo Sampaio,L,DQ,No Gi Pan Am.,ABS,8F,2018
"Aaron ""Tex"" Johnson",Max Gimenis,L,Pts: 6x0,NoGi Worlds,O97KG,4F,2018
"Aaron ""Tex"" Johnson",Yuri Simoes,L,Pts: 5x0,NoGi Worlds,ABS,R3,2018
"Aaron ""Tex"" Johnson",Keenan Cornelius,L,Pts: 34x0,Coast Grappling,ABS,SPF,2019
"Aaron ""Tex"" Johnson",Patrick Gaudio,L,Pts: 15x0,Pan American,94KG,4F,2019
"Aaron ""Tex"" Johnson",Kaynan Duarte,L,Pts: 6x1,Kasai 5,93KG,F,2019
"Aaron ""Tex"" Johnson",Mahamed Aly,L,Choke,World Champ.,100KG,R2,2019
"Aaron ""Tex"" Johnson",Craig Jones,L,RNC,KASAI SS Florida,92KG,SPF,2019
"Aaron ""Tex"" Johnson",Tim Spriggs,L,Referee Decision,F2W 119,100KG,SPF,2019
"Aaron ""Tex"" Johnson",Max Gimenis,L,Pts: 11x0,No Gi Pan Am.,O97KG,F,2019
"Aaron ""Tex"" Johnson",James Puopolo,L,Pts: 3x0,ADCC,99KG,R1,2019
"Aaron ""Tex"" Johnson",Marcus Almeida,L,Pts: 3x0,ADCC,ABS,4F,2019
"Aaron ""Tex"" Johnson",Kyle Boehm,L,EBI/OT,KOTM 7,ABS,F,2019
"Aaron ""Tex"" Johnson",Kyle Boehm,L,EBI/OT,BJJ Fanatics,ABS,SF,2019
"Aaron ""Tex"" Johnson",Victor Hugo,L,Triangle armbar,NoGi Worlds,ABS,R1,2019
"Aaron ""Tex"" Johnson",Freddy Vosgrone,L,Referee Decision,NoGi Worlds,97KG,4F,2019
"Aaron ""Tex"" Johnson",Gordon Ryan,L,Katagatame,Sub Stars,N/A,SPF,2020
"Aaron ""Tex"" Johnson",Rafael Vasconcelos,L,Pts: 3x0,Grand Slam MIA,94KG,SF,2020
"Aaron ""Tex"" Johnson",Fellipe Trovo,L,Triangle,Grand Slam MIA,94KG,3RD,2020
"Aaron ""Tex"" Johnson",Paulo Gabriel,L,Pts: 6x4,Pan American,ABS,R1,2020
"Aaron ""Tex"" Johnson",Guilherme Augusto,L,Arm in Ezekiel,Pan American,100KG,4F,2020
"Aaron ""Tex"" Johnson",Daishi Goto,L,DQ,NFC All Valley,ABS,SF,2020
"Aaron ""Tex"" Johnson",William Tackett,L,Katagatame,Subversiv 4,ABS,4F,2020
